"Test Case ID","Work Item Type","Title","Workstream","Phase","Priority","Category/Tag","Test Step","Step Action","Step Expected Result","Suite File"
"TC-P3.4-04","Test Case","Step 2 performed for EVERY client regardless of Step 1","WS1","3.4","P1","CRITICAL","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","Confirm Step 2 executed even when Step 1 was skipped","Always done",""
"TC-P3.4-05","Test Case","All 5 security user stories created with correct titles, references, assignment","WS1","3.4","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","AWS Server Setup - <Tenant ID>","`aws-server-setup.md`",""
"","","","","","","","2","Create Access Roles - <Tenant ID>","`aws-server-setup.md`, `windward-okta-sso-integration.md`",""
"","","","","","","","3","Kerberos / AD Prerequisites (OAG) - <Tenant ID>","`oag-instructions.md`",""
"","","","","","","","4","Security Control Validations - <Tenant ID>","`security-controls-validation.md`",""
"","","","","","","","5","ForcePoint DSS Server Provisioning - <Tenant ID> *(requires PHI-ready servers)*","`forcepoint-dss-fingerprinting.md`",""
"TC-P3.4-06","Test Case","ForcePoint DSS requires PHI-ready servers","WS1","3.4","P1","Sequencing — US5 PHI gate","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","Confirm US5 is gated on PHI-ready servers","Not executed before servers PHI-ready",""
"TC-P3.4-07","Test Case","Security controls deployed & validated by InfoSec","WS1","3.4","P1","Hand-off outcome","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","Await InfoSec confirmation (email/Teams)","Controls deployed & validated",""
"","","","","","","","2","Confirm all backlog stories/tasks closed","Closed",""
"TC-P3.4-08","Test Case","If Step 1 applied, it must be COMPLETE before Step 2 closure","WS1","3.4","P1","Negative — prereq","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","Where Step 1 applied, verify intake submitted & InfoSec notified before relying on Step 2 execution","Enforced",""
"TC-P4-01","Test Case","Databases created/sized per Tier architecture","WS1","4","P1","Tier — DB config","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"","","","","","","","1","Confirm DB names/sizes/configs follow the Tier-appropriate database-tier spec","Matches Tier",""
"","","","","","","","2","Confirm details documented in Env Variables","Recorded",""
"TC-P4-02","Test Case","Connect using comma-port format","WS1","4","P1","SQA validation — connectivity via SSMS","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"","","","","","","","1","Add credential in Windows Credential Manager: `REF[windward-database-server-ip]:1437` + DQ creds","Saved",""
"","","","","","","","2","SSMS → Connect to Server: `REF[windward-database-server-ip],1437` (**comma, not colon**) + Windows Auth","Connects (wait 30–60s)",""
"","","","","","","","3","Expand Databases; confirm all expected DBs present/accessible","All visible",""
"TC-P4-03","Test Case","Colon-before-port causes failure","WS1","4","P1","Negative — known issue","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"","","","","","","","1","Attempt `IP:1437` (colon)","Connection error (reproduces Common Issue)",""
"","","","","","","","2","Switch to `IP,1437` (comma)","Connects",""
"TC-P4-04","Test Case","DEV validated before QAR, then PROD","WS1","4","P1","Sequential env","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"","","","","","","","1","Validate DEV first; QAR configured after DEV approved","Order honored (note: doc lists DEV→QAR→Prod; confirm HFX handling)",""
"TC-P4-05","Test Case","Broken infosec prereq reference","WS1","4","P1","DOC DEFECT","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"","","","","","","","1","Follow ""Phase 3.1 Security setup"" → `Phase03.1_Infosec.md` (infosec is Phase 3.4; 3.1 is Kerberos)","Broken/wrong ref",""
"TC-P4.1-01","Test Case","Operation restricted to PROD/HFX only","WS1","4.1","P1","CRITICAL — Environment gating","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Confirm ticket targets PROD (or HFX)","Correct env",""
"","","","","","","","2","Attempt to scope this phase for DEV/QAR","Rejected — phase applies to PROD/HFX only",""
"TC-P4.1-02","Test Case","Approved maintenance window exists before offline","WS1","4.1","P1","CRITICAL — Change control","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Confirm PM/BA + business stakeholders approved a window","Documented date/time",""
"","","","","","","","2","Confirm ticket Description has ""Approved Maintenance Window: <date/time>"" (not the `[INSERT DATE AND TIME]` placeholder)","Real value present",""
"","","","","","","","3","Confirm offline occurs only within the window","Within window",""
"TC-P4.1-03","Test Case","Connections drained & app teams notified before offline","WS1","4.1","P1","Safety","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Confirm application teams notified pre-offline","Notified",""
"","","","","","","","2","Confirm all active connections terminated gracefully","Graceful drain",""
"","","","","","","","3","Confirm exact offline time documented","Timestamp recorded",""
"","","","","","","","4","Confirm DB fully offline before any backup begins","Verified offline",""
"TC-P4.1-04","Test Case","Only Windward_Commercial (COM) targeted","WS1","4.1","P1","Correct DB","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Confirm target = Windward_Commercial (COM)","Correct DB",""
"","","","","","","","2","Confirm no unrelated DB taken offline","Scope correct",""
"TC-P4.1-05","Test Case","DBA confirms offline status in ticket","WS1","4.1","P1","Hand-off outcome","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Await ticket Done w/ comment: exact offline time, status verification, issues","All present",""
"TC-P4.1-06","Test Case","PROD-only vs ""PROD and HFX"" / acceptance-criteria inconsistency","WS1","4.1","P1","DOC DEFECT","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Compare filename/Intro (""PROD ONLY""), H1 (""PROD and HFX""), Title template (""... PROD""), AC (""PRODUCTION"")","Inconsistency confirmed",""
"","","","","","","","2","Determine intended scope with DBA/architect","Clarified",""
"TC-P4.1-07","Test Case","Path exists if offline fails or window overruns","WS1","4.1","P1","Rollback/contingency","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"","","","","","","","1","Define behavior if connections won't drain or window expires","Documented rollback/abort (bring back online, reschedule)",""
"TC-P4.2-01","Test Case","All three databases backed up","WS1","4.2","P1","CRITICAL — Completeness","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","Confirm Config (`REF[ConfigDatabaseName]`), Payment (`REF[PaymentDatabaseName]`), Windward (`REF[WindwardDatabaseName]`) all backed up","All 3 present",""
"","","","","","","","2","Confirm DB names resolved from Env Variables (no `REF[]`, correct per client)","Correct names",""
"TC-P4.2-02","Test Case","Backup integrity validated & documented","WS1","4.2","P1","CRITICAL — Integrity","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","DBA validates backup integrity (e.g., RESTORE VERIFYONLY / checksum)","Pass",""
"","","","","","","","2","Backup file locations, sizes, timestamps documented in ticket","Recorded",""
"TC-P4.2-03","Test Case","PROD backup only after Phase 4.1 offline","WS1","4.2","P1","Sequencing — PROD source","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","Confirm PROD backup taken only after COM DB offline (Phase 4.1)","Order correct",""
"TC-P4.2-04","Test Case","All three DBs restored to windward-database-server (01)","WS1","4.2","P1","CRITICAL — Completeness","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","Confirm target = `REF[windward-database-server]` (01)","Correct server",""
"","","","","","","","2","Confirm Config, Payment, Windward all restored","All 3 restored",""
"TC-P4.2-05","Test Case","Integrity validated after restore","WS1","4.2","P1","CRITICAL — Integrity post-restore","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","DBA runs integrity checks (e.g., DBCC CHECKDB)","Pass, no corruption",""
"","","","","","","","2","Row counts / key objects sanity-checked vs source","Consistent",""
"TC-P4.2-06","Test Case","Permissions configured post-restore","WS1","4.2","P1","Permissions/access","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","Confirm DB permissions/access configured","Least-privilege, correct logins",""
"TC-P4.2-07","Test Case","Connectivity verified via SSMS","WS1","4.2","P1","SQA validation","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","SQA connects via SQL Server Management Studio (per Phase 4 Step 2)","Connects successfully",""
"","","","","","","","2","Connectivity confirmed from application servers","Reachable",""
"TC-P4.2-08","Test Case","One backup+restore cycle per env, in order","WS1","4.2","P1","Sequential env","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"","","","","","","","1","DEV completed before QAR ticket; etc. through HFX","Strict order",""
"TC-P4.3-01","Test Case","Verified backup exists before shrink","WS1","4.3","P1","CRITICAL — Safety","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Confirm Phase 4.2 backup COMPLETE & integrity-validated for the env","Backup present & verified",""
"","","","","","","","2","Confirm restore path is known/tested","Recoverable",""
"","","","","","","","3","Block shrink if no verified backup","Hard stop",""
"TC-P4.3-02","Test Case","Shrink only for small/Tier-3 BUs","WS1","4.3","P1","CRITICAL — Tier applicability gate","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Tier 3 (e.g., SLE)","Shrink **applies**",""
"","","","","","","","2","Tier 1 / Tier 2","Shrink **does not apply** — do not run (confirm with architect)",""
"TC-P4.3-03","Test Case","Purchaser/Parent/Sub-Group IDs correct & complete","WS1","4.3","P1","CRITICAL — Data scoping correctness","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Verify Purchaser_ID(s) from Mandy Willms/AJ match the client","Exact",""
"","","","","","","","2","Verify Parent_Group_ID(s) complete","All groups present",""
"","","","","","","","3","Verify Sub_Group_ID(s) complete (often a long comma-separated list — none omitted)","Full list, correct format",""
"","","","","","","","4","Cross-check IDs vs an independent client definition (e.g., NBI / ClientMemCount lineage)","Consistent",""
"","","","","","","","5","Confirm comma-separated formatting parses as intended","No malformed/space-broken IDs",""
"TC-P4.3-04","Test Case","Verify_Shrink_Results.sql passes; no missing recent data","WS1","4.3","P1","CRITICAL — Data integrity post-shrink","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Run `Testing/Verify_Shrink_Results.sql` (Step 2 link)","Pass per spec",""
"","","","","","","","2","Confirm reduced DB contains **only** the target client's data","No other clients' data remains",""
"","","","","","","","3","Confirm target client's data is **complete** — members, recent activity, claims not missing","Complete",""
"","","","","","","","4","Spot-check known members for the client are present","Present",""
"TC-P4.3-05","Test Case","Before/after size documented and reduction confirmed","WS1","4.3","P1","Metrics","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","DBA documents DB size before & after in Step 1 ticket","Both recorded",""
"","","","","","","","2","SQA confirms meaningful reduction per specs","Confirmed",""
"TC-P4.3-06","Test Case","Reduced DB reachable/usable","WS1","4.3","P1","Connectivity","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","SQA tests connectivity/accessibility post-shrink","OK",""
"TC-P4.3-07","Test Case","Step 2 ticket linked; bugs routed to DBA","WS1","4.3","P1","Linkage & defect flow","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Step 2 validation story linked to Step 1 (""relates to""/""validates"")","Linked",""
"","","","","","","","2","Any issue (unexpected size, missing data, errors) → bug on backlog assigned to DBA","Routed",""
"TC-P4.3-08","Test Case","Per-env order; high-level validation only","WS1","4.3","P1","Sequential env + scope note","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Separate run+validate per env DEV→QAR→PROD→HFX","Order honored",""
"","","","","","","","2","Acknowledge validation is high-level; deep functional/data validation deferred to Phase 10","Noted",""
"TC-P4.3-09","Test Case","Broken/incorrect prerequisite reference","WS1","4.3","P1","DOC DEFECT","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"","","","","","","","1","Follow the Prereq link","Wrong/broken target confirmed",""
"TC-P4.5-01","Test Case","Replica matches source","WS1","4.5","P2","CRITICAL — data consistency","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"","","","","","","","1","SQA connects to read-only server via SSMS using `REF[windward-database-read-only-server-ip]` (comma-port format)","Connects",""
"","","","","","","","2","Confirm Windward/Config/Payment DBs present and accessible","All present",""
"","","","","","","","3","Confirm replicated data matches source","Consistent",""
"TC-P4.5-02","Test Case","Distribution, publications, subscriptions configured","WS1","4.5","P2","Replication topology","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"","","","","","","","1","Confirm distribution DB on distribution server","Configured",""
"","","","","","","","2","Confirm publications on source, subscriptions on read-only","Created",""
"","","","","","","","3","Confirm synchronized + low latency","Synced, minimal lag",""
"TC-P4.5-03","Test Case","AG configured and failover tested (if applicable)","WS1","4.5","P2","Always On AG + failover","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"","","","","","","","1","If AG applicable, confirm configured","Configured",""
"","","","","","","","2","Test failover scenario","Fails over cleanly",""
"","","","","","","","3","Confirm monitoring/alerts on replication","Active",""
"TC-P4.5-04","Test Case","On-prem replication does not impact production","WS1","4.5","P2","Performance — on-prem","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"","","","","","","","1","Confirm network connectivity + firewall/security groups for replication traffic","Established",""
"","","","","","","","2","Performance test: minimal impact on production DB","Acceptable",""
"","","","","","","","3","BI/reporting team confirms data matches AWS source; sample reports accurate","Validated",""
"TC-P4.5-05","Test Case","Broken next-phase link","WS1","4.5","P2","DOC DEFECT","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"","","","","","","","1","""Next phase"" links Phase 5 as `Phase05_DeployWWApplications.md` (actual `Phase05_DeployWW1.0AndConfig.md`)","Broken link",""
"TC-P5-01","Test Case","App reachable via Citrix/Edge on internal network","WS1","5","P2","Functional — WW1.0 accessible","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"","","","","","","","1","Open WW1.0 URL built from `REF[windward-app-NLB-loadbalancer-https-Alias]` (verify alias value, not hardcoded)","App loads",""
"","","","","","","","2","Confirm access is internal-only (Citrix/Edge), not externally exposed","Internal-only",""
"","","","","","","","3","Daniel Hobert sanity test + executor login","Running, no errors",""
"TC-P5-02","Test Case","Config reached through WW1.0 URL","WS1","5","P2","Functional — Config module navigation","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"","","","","","","","1","From WW1.0, perform Group/Standard search","Lands on WW2.0 Group Config page",""
"","","","","","","","2","Click ""Home""","""Welcome to Configuration UI"" displayed",""
"TC-P5-03","Test Case","Tier-sized app/DB sustains expected load","WS1","5","P2","Performance","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"","","","","","","","1","Drive representative member/claims navigation load for the Tier","Response times within threshold",""
"","","","","","","","2","Monitor server/DB resource use (incl. WW-Shrink-reduced DB)","Within Tier capacity",""
"TC-P5-04","Test Case","Config mislabeled ""Windward 2.0""; broken cross-link from 5.2","WS1","5","P2","DOC DEFECT","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"","","","","","","","1","Step 2 prereq calls the Config module ""Windward 2.0"" (vs title ""Config Module"")","Inconsistency confirmed",""
"","","","","","","","2","Phase 5.2 links this phase as `Phase05_DeployWWApplications.md` (actual file `Phase05_DeployWW1.0AndConfig.md`)","Broken link confirmed",""
"TC-P5.1-01","Test Case","All three security user stories created, linked, assigned","WS1","5.1","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05.1_AppSecurity_WW1_Config.md"
"","","","","","","","1","US1/US2/US3 present with correct topic titles","All 3 present",""
"","","","","","","","2","Each links its infosec reference file(s); links resolve","Resolve",""
"","","","","","","","3","Assigned to InfoSec (+ Identity for US1/US2)","Correct",""
"TC-P5.1-02","Test Case","Okta SSO + portal integration works","WS1","5.1","P1","Functional/security — SSO","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05.1_AppSecurity_WW1_Config.md"
"","","","","","","","1","Authenticate to WW1.0 via Okta SSO","Success",""
"","","","","","","","2","Confirm SSO app added is the **WW1.0** app","Correct app",""
"","","","","","","","3","RBAC matrix + SailPoint requestable role + AD group cross-checked by Identity Team","Consistent",""
"TC-P5.1-03","Test Case","Failed-login handling & auth-event logging","WS1","5.1","P1","Security — auth testing","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05.1_AppSecurity_WW1_Config.md"
"","","","","","","","1","Attempt invalid login","Proper error handling, no info leak",""
"","","","","","","","2","Confirm authentication events logged","Events captured",""
"TC-P5.1-04","Test Case","DLP fingerprinting on PHI","WS1","5.1","P1","CRITICAL — PHI / ForcePoint DSS","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05.1_AppSecurity_WW1_Config.md"
"","","","","","","","1","Confirm ODBC connection + DB fingerprint job configured against the Government Database","Configured",""
"","","","","","","","2","Confirm discovery jobs target PHI with correct client-ID distinction","Correct scope",""
"TC-P5.1-05","Test Case","Missing AC; relative links; status inconsistency","WS1","5.1","P1","DOC DEFECTS","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05.1_AppSecurity_WW1_Config.md"
"","","","","","","","1","Note no Acceptance Criteria given (other phases have AC)","Logged",""
"","","","","","","","2","Reference links are relative `../architecture/...` (may not resolve from Jira)","Logged",""
"","","","","","","","3","Checklist all ""NOT STARTED"" vs siblings ""COMPLETE""","Logged",""
"TC-P6-01","Test Case","All four domain services ticketed and deployed","WS1","6","P2","Completeness","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase06_DeployDomainServices.md"
"","","","","","","","1","Confirm 4 tickets created (Member, Group/Product, Claims, Data Publisher) each with correct title + doc link","All 4 present",""
"","","","","","","","2","Confirm each deployed to all environments","Complete",""
"TC-P6-02","Test Case","Each service running and smoke-validated","WS1","6","P2","Functional — service health","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase06_DeployDomainServices.md"
"","","","","","","","1","NextGen + SQA confirm each service running","Healthy",""
"","","","","","","","2","SQA smoke test per service (note: smoke only; deep functional deferred)","Passes",""
"TC-P6-03","Test Case","Failure handling per AJ & NextGen team","WS1","6","P2","Rollback","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase06_DeployDomainServices.md"
"","","","","","","","1","On failure, rollback executed","Restored",""
"TC-P6-04","Test Case","Broken infosec prereq reference","WS1","6","P2","DOC DEFECT","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase06_DeployDomainServices.md"
"","","","","","","","1","Prereq ""3.1 Security setup"" → `Phase03.1_Infosec.md` (infosec is 3.4)","Broken/wrong ref",""
"TC-P4.4-01","Test Case","Verified Payment DB backup before shrink","WS2","4.4","P1","CRITICAL — Safety","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","Confirm a validated, restorable Payment DB backup exists (Phase 4.2)","Present & verified",""
"","","","","","","","2","Block shrink if absent","Hard stop",""
"TC-P4.4-02","Test Case","Payment shrink only for Tier-3/small BUs","WS2","4.4","P1","CRITICAL — Tier gate","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","Confirm client is Tier 3 (e.g., SLE)","Applies",""
"","","","","","","","2","Non-Tier-3 → do not run without architect sign-off","Gated",""
"TC-P4.4-03","Test Case","Payment DB name + group IDs correct/complete","WS2","4.4","P1","CRITICAL — Scoping correctness","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","Verify PaymentDatabaseName resolved correctly (no `REF[]`)","Correct",""
"","","","","","","","2","Verify Purchaser/Parent/Sub-Group IDs match the client & are complete/well-formed","Exact & complete",""
"","","","","","","","3","Confirm consistency with Phase 4.3 scoping (same client definition)","Identical IDs",""
"TC-P4.4-04","Test Case","Only client payment data, complete & balanced","WS2","4.4","P1","CRITICAL — Payment integrity post-shrink","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","Confirm reduced Payment DB holds only the target client's payment data","No other clients' payments",""
"","","","","","","","2","Confirm client payment records complete (no missing recent transactions)","Complete",""
"","","","","","","","3","Financial sanity checks (totals/counts vs expected) reconcile","Reconciled",""
"TC-P4.4-05","Test Case","Before/after size documented; reduction confirmed","WS2","4.4","P1","Metrics","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","DBA records before/after size in Step 1 ticket","Recorded",""
"","","","","","","","2","SQA confirms reduction","Confirmed",""
"TC-P4.4-06","Test Case","Step 2 linked to Step 1; bugs → DBA","WS2","4.4","P1","Linkage & defect flow","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","Validation story linked (""relates to""/""validates"")","Linked",""
"","","","","","","","2","Issues raised as bugs to DBA","Routed",""
"TC-P4.4-07","Test Case","Per-env order DEV→QAR→PROD→HFX","WS2","4.4","P1","Sequential env","","","","test-cases/WS2-Payments-Oracle/TC_Phase04.4_WWShrinkPayment.md"
"","","","","","","","1","Separate run+validate per env, in order","Honored",""
"TC-P5.2-01","Test Case","Reach Payment UI via WW1.0 → Commercial BU","WS2","5.2","P1","Functional — Payments navigation","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.2_DeployWWPayments.md"
"","","","","","","","1","From WW1.0 URL, select **""Commercial""** business unit","BU selected",""
"","","","","","","","2","Navigate ""Misc Payment Transaction"" → Miscellaneous Transactions page","Page loads",""
"","","","","","","","3","Click ""Home"" → ""Welcome to Payment UI""","Displayed",""
"TC-P5.2-02","Test Case","Correct Tier deployment file selected","WS2","5.2","P1","CRITICAL — Tier file","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.2_DeployWWPayments.md"
"","","","","","","","1","Confirm ""select appropriate tier file"" uses the Tier from Phase 1","Correct Tier file",""
"TC-P5.2-03","Test Case","Core payment transaction works on reduced DB","WS2","5.2","P1","Functional — payment integrity","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.2_DeployWWPayments.md"
"","","","","","","","1","Execute a representative miscellaneous payment transaction (test data)","Processes correctly",""
"","","","","","","","2","Confirm operates against the correctly-scoped (WW-Shrink) Payment DB","Client data only",""
"TC-P5.2-04","Test Case","Broken Phase 5 link; duplicate description link","WS2","5.2","P1","DOC DEFECTS","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.2_DeployWWPayments.md"
"","","","","","","","1","Prereqs link Phase 5 as `Phase05_DeployWWApplications.md` (actual `Phase05_DeployWW1.0AndConfig.md`)","Broken link (3×)",""
"","","","","","","","2","Description link #4 duplicates #3 (`applications-deployment-WW`)","Placeholder/wrong link",""
"TC-P5.3-01","Test Case","SSO app added is the Payments app, not WW1.0","WS2","5.3","P1","CRITICAL — correct instance","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"","","","","","","","1","Inspect the SSO app/integration created","Targets the **Payments** instance/portal",""
"","","","","","","","2","Confirm not a copy-paste of the WW1.0 (5.1) config","Distinct, correct app",""
"TC-P5.3-02","Test Case","","WS2","5.3","P1","Security — SSO + auth on Payments","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"","","","","","","","1","Okta SSO login to Payments portal","Success; correct RBAC",""
"","","","","","","","2","Invalid login handled; auth events logged","Yes",""
"TC-P5.3-03","Test Case","","WS2","5.3","P1","CRITICAL — PHI / ForcePoint DSS on payments data path","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"","","","","","","","1","Confirm ForcePoint DSS fingerprinting covers the payments PHI/financial data path","Configured, correct client-ID",""
"TC-P5.3-04","Test Case","Missing AC; copy-paste risk; status inconsistency","WS2","5.3","P1","DOC DEFECTS","","","","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"","","","","","","","1","No Acceptance Criteria; near-identical to 5.1; checklist ""NOT STARTED""","Logged D-P5.3-1..2",""
"TC-P7-01","Test Case","SSIS connection strings updated for the new tenant","WS4","7","P2","CRITICAL — cross-tenant safety","","","","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"","","","","","","","1","Inspect SSIS `.dtsConfig` connection strings","Point at the new tenant's DBs only",""
"","","","","","","","2","Confirm no residual pointer to another tenant/source","No cross-tenant string",""
"TC-P7-02","Test Case","Business unit entries added to config tables","WS4","7","P2","Config data","","","","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"","","","","","","","1","Confirm BU entries added in `WindwardInterfaces` config table(s)","Present",""
"","","","","","","","2","Verify exact table name (doc hedges ""`tblClient_BU` or equivalent"") with DBA","Confirmed authoritative name",""
"TC-P7-03","Test Case","FTP connections/paths for Oracle integration correct","WS4","7","P2","Integration","","","","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"","","","","","","","1","Confirm FTP connections and file paths configured","Correct endpoints/paths",""
"TC-P7-04","Test Case","Automated jobs run successfully for the tenant","WS4","7","P2","Functional — job execution","","","","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"","","","","","","","1","Trigger/observe scheduled TWS jobs","Run, complete, correct data refresh",""
"","","","","","","","2","Verify dependency chains and restart/error handling","Behave correctly",""
"","","","","","","","3","Confirm Tier-appropriate job spec set applied","Correct set",""
"TC-P7-05","Test Case","TBD owners; non-authoritative table name; status","WS4","7","P2","DOC DEFECTS","","","","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"","","","","","","","1","Most owners + all managers ""TBD""; checklist ""NOT STARTED""; ""`tblClient_BU` or equivalent""","Logged D-P7-1..2",""
"TC-P9-01","Test Case","Connection strings point at the new tenant DB","WS4","9","P1","CRITICAL — cross-tenant","","","","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase09_TrustedView.md"
"","","","","","","","1","Inspect Trusted View job connection strings","New tenant DB only",""
